fea1,fea2,fea3,fea4,fea5
7,0,绿,174,24.8571428571
7,0,黄,174,24.8571428571
7,0,绿,100000000,
23,,绿,700,
16,0,,608,38
15,0,绿,214,14.2666666667
45,0,绿,1596,35.4666666667
5,0,绿,236,47.1
3,0,绿,26,8.66666666667
9,1,绿,140,15.5555555556
5,1,绿,564,112.8
3,1,绿,49,16.3333333333
14,1,绿,331,23.6428571429
55,1,绿,135,2.45454545455
5,1,绿,738.618,147.7236
27,1,绿,648,24
2,1,绿,34,17
12,1,绿,83,6.91666666667
22,1,绿,620,28.1818181818
14,1,绿,799,57.0714285714
50,1,绿,314,6.28
6,1,绿,38.962,6.49366666667
6,1,绿,38.962,6.49366666667
28,1,绿,1344,48
6,1,绿,132,22
8,1,绿,25,3.125
12,1,绿,176,14.6666666667
4,1,绿,92.751,23.18775
8,1,绿,284,35.5
21,1,绿,632,30.0952380952
9,1,绿,496.381,55.1534444444
41,1,绿,82,2
19,1,绿,728,38.3157894737
15,1,绿,126,8.4
6,1,绿,3094,515.666666667
6,1,绿,110,18.3333333333
5,1,绿,6.429,1.2858
16,1,绿,864,54
8,1,绿,322,40.25
21,1,绿,129.569,6.16995238095
24,1,绿,450,18.75
3,1,绿,68,22.6666666667
19,1,绿,226,11.8947368421
30,1,绿,4033,134.433333333
2,1,绿,24,12
4,1,绿,260.312,65.078
3,1,绿,8,2.66666666667
115,1,绿,3668,31.8956521739
12,1,绿,124,10.3333333333
19,1,绿,279,14.6842105263
12,1,绿,328,27.3333333333
10,1,绿,301,30.1
19,1,绿,52.326,2.754
27,1,绿,1803,66.7777777778
11,1,绿,363.107,33.0097272727
11,1,绿,306,27.8181818182
5,1,绿,151.354,30.2708
2,1,绿,44,22
6,1,绿,61,10.1666666667
7,1,绿,21,3
7,1,绿,572,81.7142857143
10,1,绿,151,15.1
48,1,绿,5859,122.0625
89,1,绿,25902,291.033707865
7,1,绿,1919.479,274.211285714
9,1,绿,44,4.88888888889
4,1,绿,16.253,4.06325
3,1,绿,33,11
2,1,绿,60,30
4,1,绿,25,6.25
21,1,绿,624,29.7142857143
31,1,绿,890,28.7096774194
18,1,绿,108,6
19,1,绿,345,18.1578947368
62,1,绿,15173,244.725806452
54,1,绿,334,6.18518518519
23,1,绿,719,31.2608695652
6,1,绿,723,120.5
32,1,绿,1140,35.625
29,2,绿,567,19.5517241379
26,2,绿,721.305,27.7425
16,2,绿,207,12.9375
5,2,绿,137,27.4
2,2,绿,28,14
15,2,绿,747,49.8
9,2,绿,59.222,6.58022222222
1,2,绿,4,4
11,2,绿,255,23.1818181818
3,2,绿,132,44
18,2,绿,234,13
63,2,绿,34750,551.587301587
12,2,绿,423,35.25
52,2,绿,13772,264.846153846
36,2,绿,251,6.97222222222
15,2,绿,1363,90.8666666667
63,2,绿,414,6.57142857143
5,2,绿,14,2.8
41,2,绿,353,8.60975609756
80,2,绿,8629.526,107.869075
11,2,绿,145,13.1818181818
12,2,绿,257,21.4166666667
20,2,绿,328,16.4
